Year,Indicator,Value
1960,Adjusted net national income (annual % growth),2.46388487346792
1961,Adjusted net national income (annual % growth),2.46388487346792
1962,Adjusted net national income (annual % growth),2.46388487346792
1963,Adjusted net national income (annual % growth),2.46388487346792
1964,Adjusted net national income (annual % growth),2.46388487346792
1965,Adjusted net national income (annual % growth),2.46388487346792
1966,Adjusted net national income (annual % growth),2.46388487346792
1967,Adjusted net national income (annual % growth),2.46388487346792
1968,Adjusted net national income (annual % growth),2.46388487346792
1969,Adjusted net national income (annual % growth),2.46388487346792
1970,Adjusted net national income (annual % growth),2.46388487346792
1971,Adjusted net national income (annual % growth),2.46388487346792
1972,Adjusted net national income (annual % growth),2.46388487346792
1973,Adjusted net national income (annual % growth),2.46388487346792
1974,Adjusted net national income (annual % growth),2.46388487346792
1975,Adjusted net national income (annual % growth),2.46388487346792
1976,Adjusted net national income (annual % growth),2.46388487346792
1977,Adjusted net national income (annual % growth),2.46388487346792
1978,Adjusted net national income (annual % growth),2.46388487346792
1979,Adjusted net national income (annual % growth),2.46388487346792
1980,Adjusted net national income (annual % growth),2.46388487346792
1981,Adjusted net national income (annual % growth),2.46388487346792
1982,Adjusted net national income (annual % growth),2.46388487346792
1983,Adjusted net national income (annual % growth),1.57398085116893
1984,Adjusted net national income (annual % growth),-9.89492684279867
1985,Adjusted net national income (annual % growth),-6.87004948629522
1986,Adjusted net national income (annual % growth),2.91429251839259
1987,Adjusted net national income (annual % growth),7.50943937126813
1988,Adjusted net national income (annual % growth),7.54908228130927
1989,Adjusted net national income (annual % growth),4.85976162229771
1990,Adjusted net national income (annual % growth),6.08320700271034
1991,Adjusted net national income (annual % growth),0.0332859690766156
1992,Adjusted net national income (annual % growth),2.39701126848557
1993,Adjusted net national income (annual % growth),0.459714223385973
1994,Adjusted net national income (annual % growth),6.00668168137386
1995,Adjusted net national income (annual % growth),4.25700084953344
1996,Adjusted net national income (annual % growth),5.12997373626492
1997,Adjusted net national income (annual % growth),6.11234699900436
1998,Adjusted net national income (annual % growth),10.769355763596
