Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Philippines,PHL,2021,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,2.78
Philippines,PHL,2020,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,2.78
Philippines,PHL,2019,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,2.66
Philippines,PHL,2018,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,2.8
Philippines,PHL,2017,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,2.89
Philippines,PHL,2016,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,2.91
Philippines,PHL,2015,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,2.95
Philippines,PHL,2014,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,2.89
Philippines,PHL,2013,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,2.87
Philippines,PHL,2012,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,2.97
Philippines,PHL,2011,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,3.05
Philippines,PHL,2010,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,3.13
Philippines,PHL,2009,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,3.21
Philippines,PHL,2008,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,3.34
Philippines,PHL,2007,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,3.32
Philippines,PHL,2006,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,3.45
Philippines,PHL,2005,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,3.67
Philippines,PHL,2004,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,3.74
Philippines,PHL,2003,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,4.02
Philippines,PHL,2002,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,4.23
Philippines,PHL,2001,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,4.32
Philippines,PHL,2000,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,4.68
Philippines,PHL,2023,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,97.6
Philippines,PHL,2022,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,91.1
Philippines,PHL,2021,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,96.5
Philippines,PHL,2020,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,94.7
Philippines,PHL,2019,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,93
Philippines,PHL,2018,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,91.3
Philippines,PHL,2017,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,90
Philippines,PHL,2016,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,87.9
Philippines,PHL,2015,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,83.2
Philippines,PHL,2014,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,84.6
